"id";"lavNumber";"name";"type";"result";"tier";"officialDistanceM";"officialName";"officialCandidateCount";"nameScore";"distanceGapM";"reason"
"5-450-05-kleiner-schachtteich-bei-wienrode-a-b-h-k-pl-s-z-0-47";"5-450-05";"Kleiner Schachtteich bei Wienrode A, B, H, K, Pl, S, Z 0,47";"Teich";"review";"standing-review";"76.1";"Schachtteich";"3";"0.226";"42.3";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"5-450-06-wiesenteich-bei-wienrode";"5-450-06";"Wiesenteich bei Wienrode";"Teich";"review";"standing-review";"76.1";"Schachtteich";"3";"0";"42.3";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-100-06-tonkuhle-nahry-aschersleben";"6-100-06";"Tonkuhle Nahry Aschersleben";"See";"review";"wide-standing-review";"573.8";"Gondelteich";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"6-100-08-heckenteich-in-gatersleben";"6-100-08";"Heckenteich in Gatersleben";"Teich";"review";"standing-review";"33";"";"2";"0";"58.7";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-100-11-gondelteich-aschersleben";"6-100-11";"Gondelteich Aschersleben";"Teich";"review";"wide-standing-review";"573.8";"Gondelteich";"1";"0.458";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"6-100-12-kiesgrube-an-der-froser-strae";"6-100-12";"Kiesgrube an der Froser Straße";"Kiesgrube";"review";"wide-standing-review";"573.8";"Gondelteich";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"6-110-01-flanschenteich-bebitz";"6-110-01";"Flanschenteich Bebitz";"Teich";"review";"standing-review";"222.9";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-110-03-neues-tonloch-beesenlaublingen";"6-110-03";"Neues Tonloch Beesenlaublingen";"See";"review";"wide-standing-review";"593.9";"";"4";"0";"67.1";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"6-110-04-altes-tonloch-beesenlaublingen";"6-110-04";"Altes Tonloch Beesenlaublingen";"See";"review";"wide-standing-review";"593.9";"";"4";"0";"67.1";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"6-110-06-sportplatzteich-gerlebogk";"6-110-06";"Sportplatzteich Gerlebogk";"Teich";"review";"standing-review";"280.4";"Gerlebogker See";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-110-07-villa-teich-gerlebogk";"6-110-07";"Villa-Teich Gerlebogk";"Teich";"review";"standing-review";"280.4";"Gerlebogker See";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-110-08-lettenloch-bei-konnern";"6-110-08";"Lettenloch bei Könnern";"See";"review";"standing-review";"40.2";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-110-10-tonloch-hanse-leau";"6-110-10";"Tonloch Hanse, Leau";"See";"review";"standing-review";"211.7";"";"2";"0";"9.2";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-110-11-mariensee-preulitz";"6-110-11";"Mariensee Preußlitz";"See";"review";"standing-review";"38.7";"";"2";"0";"182.9";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-110-12-saalealtarm-zwischen-plotzkau";"6-110-12";"Saalealtarm zwischen Plötzkau";"Fließgewässer";"review";"flow-review";"31.1";"";"3";"0";"39.7";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"6-110-14-saale-von-kreisgrenze-saalekreis-bis";"6-110-14";"Saale von Kreisgrenze Saalekreis bis";"Fließgewässer";"review";"flow-review";"9.8";"";"5";"0";"27.8";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"6-110-19-taiga-in-grona";"6-110-19";"Taiga in Gröna";"See";"review";"standing-review";"50.6";"Taiga";"4";"0.357";"68.6";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-110-20-schwefelteich-bebitz";"6-110-20";"Schwefelteich Bebitz";"Teich";"review";"standing-review";"222.9";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-110-21-tonloch-huhn-leau";"6-110-21";"Tonloch Huhn Leau";"See";"review";"standing-review";"211.7";"";"2";"0";"9.2";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-110-22-kiesgrube-beesenlaublingen";"6-110-22";"Kiesgrube Beesenlaublingen";"Kiesgrube";"review";"wide-standing-review";"593.9";"";"4";"0";"67.1";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"6-110-24-alter-ziegeleiteich-baalberge";"6-110-24";"Alter Ziegeleiteich Baalberge";"Teich";"review";"standing-review";"259.6";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-111-04-bode-vom-beginn-des-muhlgrabens";"6-111-04";"Bode vom Beginn des Mühlgrabens";"Fließgewässer";"review";"flow-review";"9.5";"";"5";"0";"0.2";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"6-111-11-schachtsee-neugattersleben";"6-111-11";"Schachtsee Neugattersleben";"See";"review";"standing-review";"1";"";"3";"0";"56.3";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-111-13-saale-von-einmundung-der-fuhne-bis";"6-111-13";"Saale von Einmündung der Fuhne bis";"Fließgewässer";"review";"flow-review";"9.8";"";"5";"0";"27.8";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"6-112-03-saalealtarm-lesewitz-bei-plotzkau";"6-112-03";"Saalealtarm Lesewitz bei Plötzkau";"Fließgewässer";"review";"flow-review";"31.1";"";"3";"0";"39.7";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"6-113-02-groer-teich-hinter-der-fahrt-in-preulitz-a-h-k-ro-s-0-30";"6-113-02";"Großer Teich hinter der Fahrt in Preußlitz A, H, K, Ro, S 0,30";"Teich";"review";"standing-review";"38.7";"";"2";"0";"182.9";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-113-03-tonloch-preulitz";"6-113-03";"Tonloch Preußlitz";"See";"review";"standing-review";"38.7";"";"2";"0";"182.9";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-400-01-schacht-9-bei-eggersdorf";"6-400-01";"Schacht 9 bei Eggersdorf";"See";"review";"standing-review";"59.8";"";"4";"0";"15.5";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-400-02-seehof-bei-wespen-barby";"6-400-02";"Seehof bei Wespen-Barby";"See";"review";"standing-review";"92.4";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-400-05-parkteich-bei-brumby";"6-400-05";"Parkteich bei Brumby";"Teich";"review";"standing-review";"48.7";"Parkteich";"3";"0.45";"94";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-400-06-kohls-see-bei-biere";"6-400-06";"Kohls See bei Biere";"See";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"6-400-09-griebehner-teiche-bei-calbe";"6-400-09";"Griebehner Teiche bei Calbe";"Teich";"review";"standing-review";"58.1";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-400-13-beamtenteich-bei-tornitz";"6-400-13";"Beamtenteich bei Tornitz";"Teich";"review";"wide-standing-review";"476.9";"";"4";"0";"83.1";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"6-400-14-gruner-teich-bei-tornitz";"6-400-14";"Grüner Teich bei Tornitz";"Teich";"review";"wide-standing-review";"476.9";"";"4";"0";"83.1";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"6-400-15-pappelteich-bei-tornitz";"6-400-15";"Pappelteich bei Tornitz";"Teich";"review";"wide-standing-review";"476.9";"";"4";"0";"83.1";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"6-400-23-kiessandtagebau-pommelter-strae";"6-400-23";"Kiessandtagebau Pömmelter Straße";"Kiesgrube";"review";"standing-review";"45.7";"";"3";"0";"154.4";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-400-24-saalealtarm-tippelskirchen";"6-400-24";"Saalealtarm Tippelskirchen";"Fließgewässer";"review";"flow-review";"2.8";"";"5";"0";"25.4";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"6-400-30-kuchenpfuhl-elbenau";"6-400-30";"Küchenpfuhl Elbenau";"Fließgewässer";"review";"flow-review";"85.4";"";"2";"0";"225";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"6-400-33-stilles-wasser-elbenau";"6-400-33";"Stilles Wasser Elbenau";"Fließgewässer";"review";"flow-review";"85.4";"";"2";"0";"225";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"6-400-34-kiessee-tornitz";"6-400-34";"Kiessee Tornitz";"Kiesgrube";"review";"wide-standing-review";"476.9";"";"4";"0";"83.1";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"6-400-36-angerteich-in-glothe";"6-400-36";"Angerteich in Glöthe";"Teich";"review";"standing-review";"17.1";"";"5";"0";"20.4";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-400-39-tilsschacht-brumby";"6-400-39";"Tilsschacht Brumby";"See";"review";"wide-standing-review";"584.5";"Parkteich";"2";"0";"148.8";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"6-400-43-schachtteich-eggersdorf";"6-400-43";"Schachtteich Eggersdorf";"Teich";"review";"standing-review";"59.8";"";"4";"0";"15.5";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-400-44-kirchbreite-bei-barby";"6-400-44";"Kirchbreite bei Barby";"See";"review";"wide-standing-review";"444.4";"";"2";"0";"137.3";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"6-400-47-tonlocher-glothe";"6-400-47";"Tonlöcher Glöthe";"See";"review";"standing-review";"17.1";"";"5";"0";"20.4";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-401-02-bruch-2-bei-breitenhagen";"6-401-02";"Bruch 2 bei Breitenhagen";"See";"review";"standing-review";"4.3";"";"2";"0";"50.6";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-401-03-bruch-3-bei-breitenhagen";"6-401-03";"Bruch 3 bei Breitenhagen";"See";"review";"standing-review";"4.3";"";"2";"0";"50.6";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-401-04-badebruch-bei-breitenhagen";"6-401-04";"Badebruch bei Breitenhagen";"See";"review";"standing-review";"7.2";"";"2";"0";"47.8";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-401-07-kleiner-dorfsee-gro-rosenburg";"6-401-07";"Kleiner Dorfsee Groß Rosenburg";"See";"review";"standing-review";"26.6";"";"2";"0";"37.9";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-401-08-landgraben-von-einmundung-des";"6-401-08";"Landgraben von Einmündung des";"Fließgewässer";"review";"flow-review";"7.2";"";"6";"0";"68.8";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"6-401-09-taube-von-700m-oberhalb-der";"6-401-09";"Taube von 700m oberhalb der";"See";"review";"standing-review";"11.4";"";"2";"0";"43.9";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-402-01-dolphus-bei-barby";"6-402-01";"Dolphus bei Barby";"See";"review";"wide-standing-review";"444.4";"";"2";"0";"137.3";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"6-402-02-barbyer-landgraben-von";"6-402-02";"Barbyer Landgraben von";"Fließgewässer";"review";"flow-review";"2.3";"";"5";"0";"14.5";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"6-402-03-hafen-barby";"6-402-03";"Hafen Barby";"See";"review";"wide-standing-review";"444.4";"";"2";"0";"137.3";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"6-410-03-ritterflurteich-bei-stafurt";"6-410-03";"Ritterflurteich bei Staßfurt";"Teich";"review";"standing-review";"295";"Innenstadt-See";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-410-05-tiefbau-jacobsgrube-bei-gro-bornecke-a-b-bl-h-k-pl-s-z-8-12";"6-410-05";"Tiefbau Jacobsgrube bei Groß Börnecke A, B, Bl, H, K, Pl, S, Z 8,12";"Kiesgrube";"review";"standing-review";"32.4";"";"2";"0";"33.3";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-410-08-badeteteich-bei-westeregeln";"6-410-08";"Badeteteich bei Westeregeln";"Teich";"review";"standing-review";"36.2";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-410-09-3-kulke-bei-westeregeln";"6-410-09";"3 Kulke bei Westeregeln";"See";"review";"standing-review";"36.2";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-410-10-tagebau-bei-westeregeln";"6-410-10";"Tagebau bei Westeregeln";"Kiesgrube";"review";"standing-review";"36.2";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-410-11-groer-schachtsee-bei-wolmirsleben";"6-410-11";"Großer Schachtsee bei Wolmirsleben";"See";"review";"standing-review";"158.1";"Großer Schachtsee";"2";"0.514";"176.3";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-410-14-bode-vom-wehr-egeln-nord";"6-410-14";"Bode vom Wehr Egeln-Nord";"Fließgewässer";"review";"flow-review";"2";"";"8";"0";"10.4";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"6-410-15-bode-vom-wehr-rothenforde";"6-410-15";"Bode vom Wehr Rothenförde";"Fließgewässer";"review";"flow-review";"24.9";"";"3";"0";"54.6";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"6-410-17-seemann-bei-loderburg";"6-410-17";"Seemann bei Löderburg";"See";"review";"standing-review";"15.9";"";"3";"0";"18.4";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-410-19-muhlgraben-von-egeln-nord";"6-410-19";"Mühlgraben von Egeln-Nord";"Fließgewässer";"review";"flow-review";"44.2";"";"8";"0";"99.3";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"6-410-20-undank-in-loderburg";"6-410-20";"Undank in Löderburg";"See";"review";"standing-review";"15.9";"";"3";"0";"18.4";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-410-21-kiesschacht-gusten";"6-410-21";"Kiesschacht Güsten";"Kiesgrube";"review";"standing-review";"53.4";"";"2";"0";"140.6";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-410-25-wassergraben-bei-hohenerxleben";"6-410-25";"Wassergräben bei Hohenerxleben";"See";"review";"standing-review";"74.7";"Gänselache";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-411-01-laake-bei-loderburg";"6-411-01";"Laake bei Löderburg";"See";"review";"standing-review";"92.8";"Laake";"3";"0.263";"166";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"6-411-03-kreuzteich-loderburg";"6-411-03";"Kreuzteich Löderburg";"Teich";"review";"standing-review";"15.9";"";"3";"0";"18.4";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-120-04-alte-mulde-roitzschjora";"7-120-04";"Alte Mulde Roitzschjora";"Fließgewässer";"review";"flow-review";"165.6";"";"2";"0";"122.9";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"7-120-06-unterer-ziegeleiteich-muldenstein";"7-120-06";"Unterer Ziegeleiteich Muldenstein";"Fließgewässer";"review";"flow-review";"47.1";"";"6";"0";"81.9";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"7-120-08-strandbad-sandersdorf";"7-120-08";"Strandbad Sandersdorf";"See";"review";"standing-review";"36.3";"";"2";"0";"167";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-120-12-spittelwasser-jenitz";"7-120-12";"Spittelwasser Jeßnitz";"See";"review";"standing-review";"15.4";"Schlossteich";"2";"0";"63.6";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-120-15-grube-theodor-bei-roitzsch";"7-120-15";"Grube Theodor bei Roitzsch";"Kiesgrube";"review";"wide-standing-review";"546.6";"";"3";"0";"24.4";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"7-120-16-burgermeisterteich-jenitz";"7-120-16";"Bürgermeisterteich Jeßnitz";"Teich";"review";"wide-standing-review";"672.6";"";"2";"0";"149.3";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"7-120-17-lober-bei-jenitz";"7-120-17";"Lober bei Jeßnitz";"See";"review";"wide-standing-review";"672.6";"";"2";"0";"149.3";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"7-120-20-altes-wasser-priorau";"7-120-20";"Altes Wasser Priorau";"See";"review";"standing-review";"92.8";"Alte Wasser Priorau";"2";"0.5";"100.4";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-120-23-mulde-von-ca-500m-oberhalb-brucke";"7-120-23";"Mulde von ca. 500m oberhalb Brücke";"Fließgewässer";"review";"flow-review";"30.5";"";"4";"0";"32.2";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"7-120-24-tagebaurestloch-richard-i";"7-120-24";"Tagebaurestloch Richard I";"Kiesgrube";"review";"wide-standing-review";"415.5";"Richard I";"5";"0.36";"160";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"7-120-27-kiesgrube-salzfurtkapelle";"7-120-27";"Kiesgrube Salzfurtkapelle";"Kiesgrube";"review";"standing-review";"413";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-120-31-kiesgrube-loberitz";"7-120-31";"Kiesgrube Löberitz";"Kiesgrube";"review";"standing-review";"57.5";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-120-35-leine-in-bitterfeld-privatstrecke-beachten-ad-d-h-1-66";"7-120-35";"Leine in Bitterfeld Privatstrecke beachten! Ad, D, H 1,66";"See";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"7-120-40-groer-teich-bitterfeld";"7-120-40";"Großer Teich Bitterfeld";"Teich";"review";"wide-standing-review";"552.7";"Großer Goitzschesee";"2";"0.333";"83.8";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"7-120-43-dorfteich-thalheim";"7-120-43";"Dorfteich Thalheim";"Teich";"review";"wide-standing-review";"385.7";"";"2";"0";"134.6";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"7-120-53-teich-am-park-schrenz";"7-120-53";"Teich am Park Schrenz";"Teich";"review";"wide-standing-review";"805.7";"";"2";"0";"218";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"7-120-54-teich-am-etp-schrenz";"7-120-54";"Teich am ETP Schrenz";"Teich";"review";"wide-standing-review";"805.7";"";"2";"0";"218";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"7-120-55-kragenteich-roitzsch";"7-120-55";"Kragenteich Roitzsch";"Teich";"review";"wide-standing-review";"546.6";"";"3";"0";"24.4";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"7-120-56-tonkiete-schortewitz";"7-120-56";"Tonkiete Schortewitz";"See";"review";"standing-review";"66.3";"";"2";"0";"36.1";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-140-01-moster-altes-wasser";"7-140-01";"Möster altes Wasser";"See";"review";"standing-review";"189.2";"Altes Wasser";"2";"0.632";"295";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-272-02-nachthainichte-bei-aken";"7-272-02";"Nachthainichte bei Aken";"See";"review";"standing-review";"19.5";"";"8";"0";"9";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-272-03-groe-kabel-langes-loch-bei-aken";"7-272-03";"Große Kabel (Langes Loch) bei Aken";"See";"review";"standing-review";"19.5";"";"8";"0";"9";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-272-04-kleine-kabel-bei-aken";"7-272-04";"Kleine Kabel bei Aken";"See";"review";"standing-review";"19.5";"";"8";"0";"9";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-273-03-baufeld-worbzig-3-kiesgrube-rechts";"7-273-03";"Baufeld Wörbzig 3 - Kiesgrube rechts-";"Kiesgrube";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"7-273-05-karoline-bei-piethen-boote-ohne-motor";"7-273-05";"Karoline bei Piethen - Boote ohne Motor";"See";"review";"standing-review";"218";"";"3";"0";"36.7";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-273-06-sohl-bei-piethen";"7-273-06";"Sohl bei Piethen";"See";"review";"standing-review";"218";"";"3";"0";"36.7";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-273-09-sandkiete-ii-bei-grobzig";"7-273-09";"Sandkiete II bei Gröbzig";"See";"review";"standing-review";"15.5";"";"3";"0";"58";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-273-10-schachtteich-bei-piethen";"7-273-10";"Schachtteich bei Piethen";"Teich";"review";"standing-review";"218";"";"3";"0";"36.7";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-273-11-fuhne-von-einmundung-der-riede";"7-273-11";"Fuhne von Einmündung der Riede";"See";"review";"wide-standing-review";"805.7";"";"2";"0";"218";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"7-273-17-dorfteich-reinsdorf";"7-273-17";"Dorfteich Reinsdorf";"Teich";"review";"standing-review";"283.6";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-273-24-gutsteich-gorzig";"7-273-24";"Gutsteich Görzig";"Teich";"review";"standing-review";"283.6";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-275-00-ackermannsteich-elsnigk";"7-275-00";"Ackermannsteich Elsnigk";"Teich";"review";"standing-review";"14.4";"";"3";"0";"23.2";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-275-03-bruckmannsteich-und-pumpenteich-bei";"7-275-03";"Brückmannsteich und Pumpenteich bei";"Teich";"review";"standing-review";"80.6";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-275-08-drei-locher-in-micheln";"7-275-08";"Drei Löcher in Micheln";"See";"review";"standing-review";"43.4";"";"3";"0";"149.2";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-275-10-sonntalteich-bei-micheln";"7-275-10";"Sonntalteich bei Micheln";"Teich";"review";"standing-review";"43.4";"";"3";"0";"149.2";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"7-275-11-hasenteich-bei-osternienburg";"7-275-11";"Hasenteich bei Osternienburg";"Teich";"review";"standing-review";"33.5";"";"6";"0";"46.5";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"8-180-03-birnbaummuhlenteich-grafenhainichen-a-b-bl-h-k-pl-ro-s-0-53";"8-180-03";"Birnbaummühlenteich Gräfenhainichen A, B, Bl, H, K, Pl, Ro, S 0,53";"Teich";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"8-180-04-strohwalder-teich-grafenhainichen";"8-180-04";"Strohwalder Teich Gräfenhainichen";"Teich";"review";"wide-standing-review";"501.6";"Gremminer See";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"8-180-05-affenteich-grafenhainichen";"8-180-05";"Affenteich Gräfenhainichen";"Teich";"review";"wide-standing-review";"501.6";"Gremminer See";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"8-180-06-buchholzteich-grafenhainichen";"8-180-06";"Buchholzteich Gräfenhainichen";"Teich";"review";"wide-standing-review";"501.6";"Gremminer See";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"8-181-05-tagebaurestloch-druschplatzteich";"8-181-05";"Tagebaurestloch Druschplatzteich";"Kiesgrube";"review";"standing-review";"378.4";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"8-181-07-unterer-dorfteich-sollichau";"8-181-07";"Unterer Dorfteich Söllichau";"Teich";"review";"standing-review";"322";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
